"Storage 174335 - RawData - C:\Documents and Settings\Administrator\My Documents\•ÐŽRŒ¤\‰iˆä\0313\BTB06.5_2.spc"
"”g’· (nm)","Abs."
200.00, 
201.00, 
202.00, 
203.00, 
204.00, 
205.00, 
206.00, 
207.00, 
208.00, 
209.00, 
210.00, 
211.00, 
212.00, 
213.00, 
214.00, 
215.00, 
216.00, 
217.00, 
218.00, 
219.00, 
220.00, 
221.00, 
222.00, 
223.00, 
224.00, 
225.00, 
226.00, 
227.00, 
228.00, 
229.00, 
230.00, 
231.00, 
232.00, 
233.00, 
234.00, 
235.00, 
236.00, 
237.00, 
238.00, 
239.00, 
240.00, 
241.00, 
242.00, 
243.00, 
244.00, 
245.00, 
246.00, 
247.00, 
248.00, 
249.00, 
250.00, 
251.00, 
252.00, 
253.00, 
254.00, 
255.00, 
256.00, 
257.00, 
258.00, 
259.00, 
260.00, 
261.00, 
262.00, 
263.00, 
264.00, 
265.00, 
266.00, 
267.00, 
268.00, 
269.00, 
270.00, 
271.00, 
272.00, 
273.00, 
274.00, 
275.00, 
276.00, 
277.00, 
278.00, 
279.00, 
280.00, 
281.00, 
282.00, 
283.00, 
284.00, 
285.00, 
286.00, 
287.00, 
288.00, 
289.00, 
290.00, 
291.00, 
292.00, 
293.00, 
294.00, 
295.00, 
296.00, 
297.00, 
298.00, 
299.00, 
300.00,0.16505
301.00,0.16641
302.00,0.16875
303.00,0.16947
304.00,0.17106
305.00,0.17212
306.00,0.17477
307.00,0.17717
308.00,0.17735
309.00,0.17894
310.00,0.18100
311.00,0.18257
312.00,0.18344
313.00,0.18346
314.00,0.18425
315.00,0.18430
316.00,0.18407
317.00,0.18545
318.00,0.18492
319.00,0.18416
320.00,0.18675
321.00,0.18541
322.00,0.18381
323.00,0.18388
324.00,0.18384
325.00,0.18379
326.00,0.18403
327.00,0.18274
328.00,0.18218
329.00,0.18309
330.00,0.18305
331.00,0.18127
332.00,0.18061
333.00,0.18146
334.00,0.18297
335.00,0.18043
336.00,0.17951
337.00,0.17932
338.00,0.18078
339.00,0.17920
340.00,0.17960
341.00,0.17875
342.00,0.17948
343.00,0.17988
344.00,0.17817
345.00,0.17868
346.00,0.17704
347.00,0.17799
348.00,0.17614
349.00,0.17751
350.00,0.17753
351.00,0.17139
352.00,0.17173
353.00,0.17131
354.00,0.17071
355.00,0.17097
356.00,0.17159
357.00,0.17127
358.00,0.17161
359.00,0.17211
360.00,0.17333
361.00,0.17249
362.00,0.17406
363.00,0.17640
364.00,0.17654
365.00,0.17611
366.00,0.17778
367.00,0.17792
368.00,0.18033
369.00,0.17975
370.00,0.18148
371.00,0.18383
